month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2023-04-01,Health safety and attendance,41,1626,318,0.025215252152521524,0.1289308176100629,0.02746251691747369
2023-04-01,Recruitment and labor market,32,1626,318,0.01968019680196802,0.10062893081761007,0.01936906361512424
2023-04-01,Scheduling hours and time off,49,1626,318,0.03013530135301353,0.1540880503144654,0.02881002306405922
2023-04-01,Service work and tips,22,1626,318,0.013530135301353014,0.06918238993710692,0.013735981143742186
2023-04-01,Work arrangements and control,23,1626,318,0.014145141451414513,0.07232704402515723,0.014458849584233944
2023-04-01,Workplace authority and interpersonal conflict,22,1626,318,0.013530135301353014,0.06918238993710692,0.015031108228087337
2023-05-01,Career precarity and exit,67,1931,377,0.03469704816157431,0.17771883289124668,0.029386318592787383
2023-05-01,Collective worker power and rights,10,1931,377,0.005178663904712584,0.026525198938992044,0.005047535979248531
2023-05-01,Compensation and pay rights,75,1931,377,0.038839979285344384,0.1989389920424403,0.04113326885899371
2023-05-01,Health safety and attendance,41,1931,377,0.021232522009321596,0.10875331564986737,0.01955073275519358
2023-05-01,Recruitment and labor market,32,1931,377,0.016571724495080268,0.08488063660477453,0.0230171036919477
2023-05-01,Scheduling hours and time off,59,1931,377,0.030554117037804248,0.15649867374005305,0.03141719489203206
2023-05-01,Service work and tips,30,1931,377,0.015535991714137753,0.07957559681697612,0.013756850373076125
2023-05-01,Work arrangements and control,33,1931,377,0.017089590885551526,0.08753315649867374,0.014988236484556947
2023-05-01,Workplace authority and interpersonal conflict,30,1931,377,0.015535991714137753,0.07957559681697612,0.014773885715054258
2023-06-01,Career precarity and exit,33,1311,247,0.02517162471395881,0.13360323886639677,0.0301491620421174
2023-06-01,Collective worker power and rights,5,1311,247,0.0038138825324180014,0.020242914979757085,0.005424405419584725
2023-06-01,Compensation and pay rights,52,1311,247,0.03966437833714721,0.21052631578947367,0.03745315743101376
2023-06-01,Health safety and attendance,16,1311,247,0.012204424103737605,0.06477732793522267,0.018304974028949598
2023-06-01,Recruitment and labor market,43,1311,247,0.03279938977879481,0.17408906882591094,0.02567921986534824
2023-06-01,Scheduling hours and time off,44,1311,247,0.033562166285278416,0.17813765182186234,0.03144368769427352
2023-06-01,Service work and tips,16,1311,247,0.012204424103737605,0.06477732793522267,0.013251173674518094
2023-06-01,Work arrangements and control,18,1311,247,0.013729977116704805,0.0728744939271255,0.014398902233005476
2023-06-01,Workplace authority and interpersonal conflict,20,1311,247,0.015255530129672006,0.08097165991902834,0.014874931501631527
2023-07-01,Career precarity and exit,84,2747,520,0.030578813250819074,0.16153846153846155,0.029180781826409583
2023-07-01,Collective worker power and rights,20,2747,520,0.0072806698216235895,0.038461538461538464,0.005839053310906177
2023-07-01,Compensation and pay rights,93,2747,520,0.03385511467054969,0.17884615384615385,0.03767284320552003
2023-07-01,Health safety and attendance,59,2747,520,0.021477975973789587,0.11346153846153846,0.019255726165855247
2023-07-01,Recruitment and labor market,76,2747,520,0.02766654532216964,0.14615384615384616,0.029682179608692284
2023-07-01,Scheduling hours and time off,83,2747,520,0.030214779759737895,0.1596153846153846,0.033461936414491626
